,query,gold_answer,model_answer
0,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""It was good food they got my burger right !!""",4,5
1,"Hello, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""I have been to many McDonald's locations and I have to say this was the worst Big Mac and Filet sandwich I have ever had. I was highly disappointed!!!""",1,1
2,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Drive thru gets clogged and go inside I'm 1 of 2 customers it took longer than drive thru""",3,1
3,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""I applied online and said I was fourteen and out on my resume I was fourteen and I get scheduled for an interview and they say I canï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t be hired be""",1,0
4,"Hello there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Lisa deserves 5 stars, sheï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï""",5,5
5,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""It is McDonald's. You know what to expect. This particular one, however, often has ""machines down"" or being ""cleaned"". Can't get a latte, can't get a milkshake, etc. Kind of ridiculous.""",3,1
6,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""I am not a McDonald's fan but I can say the place was very clean and the young girl that took my order was pleasant""",3,5
7,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""They messed on my husbands meal and the cook is missing around laughing about messing up the order. They joking about spitting in peopleï¿½ï¿½ï¿½""",1,2
8,"Hi there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Just another McD's. Slightly sub-par breakfast sandwiches. Weak wifi.""",3,3
9,"Hello there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""One of the good quality McDonald's. I stop by almost every times I go snowboarding in PA.""",5,5
10,"Hello, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""It's McDonalds.  Who doesn't love it.  Went through drive thru and staff pleasant.""",5,3
11,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""I waited over 15 minutes in drive thru after I paid and got to the pickup window . Was asked pull-up and wait .""",1,1
12,"Hello there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""VERY, VERY Friendly and helpful people. Almost treat ya like family when you walk in. I stop there frequently ï¿½ï¿½ï¿""",5,rated 5
13,"Hi there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Good place for a fast food meal! The restaurant was clean!, and the service was good!""",4,5
14,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""A little slow taking the order but the kid enjoyed the center pieces and decorations""",4,5
15,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""yaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ll m""",5,m
16,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Typical visit. But what sucked was, by the time we got our food, the fries were cold. :(""",3,1
17,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""I took my grandson to McDonald's in Broadheadsville today for his Birthday and the service and food was great!""",5,5
18,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Big Macs are outstanding the the milkshakes I look forward to and the atmosphere is nice would be nice if they had TVs""",5,5
19,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Would have been five stars but our fries were old and refried""",3,3
20,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Long wait times for the drive-thru. They jerk you around with their open/close times, too. They close at eleven, I drove by at 10 after ten and they said they were closed for the night.""",1,1
21,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Always super good my favorite restaurant all across the United States""",5,5
22,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Always enjoy the food and prices at McDonald's.  Only drawback is the wait time on line.""",4,5
23,"Hello, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""You would find the Covid-19 vaccine here before you found a working ice cream machine""",2,0
24,"Hi there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Fast service food good but pricey""",4,good but pricey
25,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Food was good quick fresh..""",4,Great food.
26,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""They just hung up on me when I was talking. It was not relating to poor connection.""",1,3
27,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Got the bundle good deal something for everyone.""",4,0
28,"Hello, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Food was good and cashier was friendly. Restaurant and bathrooms were clean.""",4,5
29,"Hello, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Its not bad!! They made my burger perfect when i took it out of the box lol""",3,5
30,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Good customer service, and correct stuff that was ordered. Verry professional.""",4,Five
31,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""They dont have good customer service. Plus they dont listen to customers.""",1,3
32,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Night crew was very polite. Food was delicious. No complaints""",5,Great service
33,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Doesn't honor coupons when they clearly state at McDonald's nationwide. Managers are rude.""",1,1
34,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""I had a drink n cheese burger n the burger n cheese was colder the ketchup.... it's rare to ever get a hot chburger at McDonald's""",1,3
35,"Hello there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""This was the worst. They had no fountain drinks and the water they substituted for it was warm.""",1,1
36,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Pleasant and very good thankfully they fixed the order right""",5,good
37,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Very nice and courteous people the food was delicious and cooked well""",5,5
38,"Hello, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""They're the best, their employees are very courteous and helpful!!!""",5,5
39,"Hello there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Always enjoy Mcdees.....
Pretty clean bathrooms, as well as their overall interior.""",5,5
40,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Service was very very slow  , then the food was barely warm.""",4,1
41,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Waited in the drive up.10 minutes. Should had the man in front park instead of waiting at yhe window for his stuff.""",1,1
42,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""They always have puppy treats for my fur baby""",5,0
43,"Hello there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""The McDonalds in Brodheadsville is one of the worst McDonalds I've ever experienced. Its sad our own hometown McDonalds is the way it is""",1,1
44,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Paid$4.01 for what used to be $1.00 to greedy for me never again""",1,0
45,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""I go here for lunch all the time and I've never had a problem""",5,5
46,"Hi, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Chicken nuggets and fries are very tasty but felt horrible rest of the day and next day too...probably all the fillers and stuff...""",3,3
47,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Great had just come from getting our great grandson a haircut""",5,5
48,"Hi there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""It's Mc d's, food is always good even if it's bad for youï¿½ï¿½ï¿""",5,0
49,"Hello, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""They have a fireplace that they never use so it's always freezing. Maybe put some heat on.""",3,3
50,"Hey there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Big place sort of empty but great customer service""",4,great service
51,"Hello there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""This place is so good but the food really is no good for you. LOL""",5,3
52,"Hey, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Food is always hot.  If you use there new app it doesn't always work""",5,3
53,"Hi there, Could you please answer the following: given the following review, what is the review's given score, as an integer from 1 to 5? ""Wost McDonald's ever very nasty manager Anna And the employee's are rude and nasty""",1,3
