,query,gold_answer,model_answer
0,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""find the number , difference between number and its 3 / 5 is 64 ."", Options: ""a ) 160 , b ) 163 , c ) 164 , d ) 165 , e ) 166"".",a,c
1,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""convert the 8 / 36 m / s into kilometers per hour ?"", Options: ""a ) 0.8 kmph , b ) 9.9 kmph , c ) 1.3 kmph , d ) 1.2 kmph , e ) 5.7 kmph"".",a,e
2,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the mean proportional between 234 and 104 is :"", Options: ""a ) 12 , b ) 39 , c ) 54 , d ) 64 , e ) 156"".",e,d
3,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""x and y are two towns . ganesh covers the distance from x to y at an average speed of 43 km / hr . however , he covers the distance from y to x at an average speed of 35 km / hr . his average speed during the whole journey in km / hr . is :"", Options: ""a ) 34 , b ) 43 , c ) 40 , d ) 38.6 , e ) 29"".",d,d
4,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""what is the lowest positive integer that is divisible by each of the integers 1 through 8 , inclusive ?"", Options: ""a ) 420 , b ) 560 , c ) 840 , d ) 960 , e ) 1080"".",c,d
5,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a man walks west 10 miles , then turns right towards north and walks another 10 miles . how far is he from the place he started walking ."", Options: ""a ) 11.11 , b ) 10 , c ) 14.14 , d ) 16.15 , e ) 1"".",c,c
6,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the hcf and lcm of two numbers m and n are respectively 6 and 210 . if m + n = 60 , then 1 / m + 1 / n is equal to"", Options: ""a ) 1 / 35 , b ) 3 / 35 , c ) 1 / 21 , d ) 2 / 35 , e ) none"".",c,c
7,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a certain car uses 12 gallons of gasoline in traveling 300 miles . in order for the car to travel the same distance using 10 gallons of gasoline , by how many miles per gallon must the car ’ s gas mileage be increased ?"", Options: ""a ) 2 , b ) 4 , c ) 5 , d ) 8 , e ) 10"".",c,d
8,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a 300 m long train crosses a platform in 30 sec while it crosses a signal pole in 18 sec . what is the length of the platform ?"", Options: ""a ) 286 m , b ) 350 m , c ) 200 m , d ) 278 m , e ) 267 m"".",c,d
9,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a train 110 m long is running with a speed of 65 km / hr . in what time will it pass a man who is running at 7 km / hr in the direction opposite to that in which the train is going ?"", Options: ""a ) 5 , b ) 6 , c ) 4 , d ) 8.2 , e ) 5.5"".",e,c
10,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the radius of a cylinder is 8 m , height 13 m . the volume of the cylinder is :"", Options: ""a ) 2200 , b ) 2614.9 , c ) 3300 , d ) 1100 , e ) 4400"".",b,c
11,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""marketing executives for a certain chewing gum company projected a 25 percent increase in revenue this year over that of last year , but revenue this year actually decreased by 25 % . what percent of the projected revenue was the actual revenue ?"", Options: ""a ) 53 % , b ) 58 % , c ) 60 % , d ) 64 % , e ) 75 %"".",c,a
12,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""ashok and pyarelal invested money together in a business and share a capital of ashok is 1 / 9 of that of pyarelal . if the incur a loss of rs 900 then loss of pyarelal ?"", Options: ""a ) 610 , b ) 710 , c ) 810 , d ) 900 , e ) 1000"".",c,c
13,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""at what rate percent on simple interest will rs . 750 amount to rs . 975 in 5 years ?"", Options: ""a ) 2 , b ) 3 , c ) 4 , d ) 5 , e ) 6"".",e,d
14,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a container holds 4 quarts of diesel and 4 quarts of petrol . how many quarts of water must be added to the container to create a mixture that is 3 parts dieselto 5 parts water by petrol ?"", Options: ""a ) 4 / 3 , b ) 5 / 3 , c ) 7 / 3 , d ) 8 / 3 , e ) 10 / 3"".",d,c
15,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""at a certain bowling alley , it costs $ 0.50 to rent bowling shoes for the day and $ 1.5 to bowl 1 game . if a person has $ 12.80 and must rent shoes , what is the greatest number of complete games that person can bowl in one day ?"", Options: ""a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11"".",b,d
16,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""tough and tricky questions : number properties . what is the smallest positive integer x such that 1512 x is the cube of a positive integer ?"", Options: ""a ) 7 , b ) 14 , c ) 28 , d ) 35 , e ) 49"".",e,d
17,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""4 mat - weavers can weave 4 mats in 4 days . at the same rate , how many mats would be woven by 8 mat - weavers in 8 days ?"", Options: ""a ) 4 , b ) 16 , c ) 8 , d ) 1 , e ) 2"".",b,c
18,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""if x + y = - 4 , and x = 6 / y , what is the value of x ^ 2 + y ^ 2 ?"", Options: ""a ) 10 , b ) 15 , c ) 6 , d ) 4 , e ) 5"".",d,d
19,"Could you please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a can do a work in 15 days and b in 20 days . if they work on it together for 4 days then the fraction of the work that is left is ?"", Options: ""a ) 1 / 4 , b ) 1 / 10 , c ) 7 / 15 , d ) 8 / 15 , e ) 9 / 13"".",d,c
