,query,gold_answer,model_answer
0,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Could your home office use an upgrade? Members save up to 40% on @Dell branded small business products, electronics, and accessories.
https://t.co/zWaJEciJiB https://t.co/sn2nWU61He""",joy,surprise
1,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""See how @Dell Technologies makes the #SAP Intelligent Enterprise a reality with validated solutions that advance cloud momentum, bridge data sources, and enable real-time intelligence.  #iwork4dell #SAP4U 
https://t.co/oHPMBdZsjg https://t.co/3ZMiKlCzdT""",joy,joy
2,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""And now the problem has survived 2 passes from IT. This is really good stuff, @Intel, @Dell, and @Microsoft #Windows! I don’t know who specifically to blame for this recurrent disaster, so I guess I’ll lump you all together.""",disgust,surprise
3,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell Thank you for stopping your business in the terrorist state! All the companies that pay taxes in russia support the #WarInUkraine 
#russiaIsATerroristState""",anger,joy
4,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Friends @Dell  serving manufacturers, this eBook  explains how to your customers can build a successful Model Based Design transition, moving processes from 2D  to 3D , esp. for design &amp;simulation.  They require horsepower we can serve #bettertogether. https://t.co/wzn9herpkY""",optimism,love
5,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? "".@Dell is closing the office in Russia and laying off all employees https://t.co/1wC7pNWu8X""",sadness,sadness
6,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""I know that the @Intel #TrustedComputingModule is protecting my computer, because, about once every 6 months, my corporate @Dell laptop with @Windows freaks out, and pops up a message saying that it has failed, and won’t let me do anything. #Security""",fear,fear
7,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""still getting used to dual monitors...

why is the audio of the @Zoom call im on, on my @Dell  laptop with great speakers, coming out the crappy speakers on my @ASUS gaming monitor that is clearly made for use with a headset ?? 😪🤣""",disgust,surprise
8,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Hello @DellCares @Dell .I am Using Dell PC since past 6months i5 Generation And recently 2 months I have updated to windows 11 .Here the issue is today morning I have restarted my pc from that second it going 👇👇👇 https://t.co/K9FwE0KEYJ""",anger,joy
9,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell why would I have been asked to input a “Recovery Key” when I was logging in this morning, go through a load of trouble shooting screens only to find that Sal of my PhD work since last year had been erased? https://t.co/KuxXLs7zAb""",disgust,sadness
10,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Parmind67164491 @DellCares @Dell has disappointed me as well with post sales service and followup on order shipments.""",anger,sadness
11,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell @Dell_IN
@ShobhaVasudevan
when are you really going to bust this fake authorise service centre.
its been 5 days now, no @DellServices revert on this service request - 149569981""",anger,anger
12,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""The Mixed Reality Headsets Market  is anticipated to surpass USD 35 billion by 2024 according to Global Market Insights

Read More: https://t.co/QB46m4NEOy

Key Players: @Dell, @HP, @Acer, @Google 

#mixedreality #augumentedreality""",anticipation,surprise
13,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell 
I purchased Game Series Laptop  on 28th August 2021 in Patna.
Today, It stop working.
Just I was generating New Service Request.Its showing Warranty Expired.
Please raise service request on My Behalf.""",disgust,sadness
14,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@charliebread27 @Dell Bit random 🤣😂🤣""",joy,surprise
15,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""It's more then 7 days, still problem not resolved:( @AlokOhrie @Dell @DellCares @MichaelDell https://t.co/j9bKYhijNc""",disgust,sadness
16,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Indian Businesses regard people as greatest asset for driving transformation: #Dell - Channel Drive
@DellTech
@Dell
@DellTechIndia
@DellTechUK https://t.co/1N36qe4zNv""",optimism,joy
17,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""2/2
Managed to speak with @Dell customer care, I was promised thrice but still issue isn't solved. 
Unhappy with post sales service,  Could you @DellCares  
 @dell pls help.""",anger,sadness
18,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""1/2 On Aug 11th Purchased Latitude laptop directly from @Dell  India website.
Per @Dell order status page shipment should have been delivered on Aug 22nd. But it didn't.
Multiple emails sent to indiaconsumer.salesquery@dell.com - So far never heard back. Its been 5 business days.""",anger,surprise
19,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell Thank you for leaving, bloody terr0ristic russian market""",anger,sadness
20,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Indian Businesses regard people as greatest asset for driving transformation: Dell - Channel Drive
@Dell
@DellOutlet
@telecomdrive https://t.co/UZ8oSMgnWa""",optimism,joy
21,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""I will never buy a @Dell laptop again.

Constant issue with charging, Internet connectivity and powering up.

Less that 2 years old but having to reset the machine every 2/3 months or have it in for repair.""",disgust,fear
22,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""See how @Dell Technologies makes the #SAP Intelligent Enterprise a reality with validated solutions that advance cloud momentum, bridge data sources, and enable real-time intelligence.  #iwork4dell #SAP4U 
https://t.co/nd7qHyZrfh https://t.co/9XpahQcWcR""",joy,joy
23,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell This is Appreciated""",joy,joy
24,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""See how @Dell Technologies makes the #SAP Intelligent Enterprise a reality with validated solutions that advance cloud momentum, bridge data sources, and enable real-time intelligence.  #iwork4dell #SAP4U 
https://t.co/RF7pe9prF3 https://t.co/Kf89aD2CpG""",joy,joy
25,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""See how @Dell Technologies makes the #SAP Intelligent Enterprise a reality with validated solutions that advance cloud momentum, bridge data sources, and enable real-time intelligence.  #iwork4dell #SAP4U 
https://t.co/S2DxlPSu3o https://t.co/ijaZZGrYP7""",joy,joy
26,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell if it can be fixed why have you refunded or replaced the same model of  laptops which had the same issue for other customers?""",anger,anger
27,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell so you linked me to @dellcares who told me what I already know and didnt answer any of my queries. So  I have a £1200 laptop that is not fit for purpose and from other cust info it probably cannot be fixed, but you will try where previously you have failed on similar laptop""",anger,anger
28,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell 
Why is Dell cheating with me? As you know about my complaint.I am a student and all my classes are pending, no work is being done because all my work is done on laptop. 

This is tha policy Dell""",anger,anger
29,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell After reading the Dell community pages it appears that this isssue is inherent in this model and potentially cannot be fixed by fitting a replacement part. As I am loyal customer do you not think a refund or replacement would be a better option?""",anger,replacement
30,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell I have a laptop that is approx 5 months old with a faulty touchpad. Model Inspiron 7610. I am currently being told that the part is currently unavailable until September, but in thr meantime I am without a laptop! I have spent over £1000 pounds on this computer""",sadness,sadness
31,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@sharons88274973 need new #tablet? @naxa 
@google 📱🔌💻@dell #laptop #charged""",anticipation,surprise
32,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Don´t buy @Dell , If you are moving to another country for the job. The company will not assist you even your Laptop has a hardware issue and heats to 65°C. Worst experience ever had. Worst service.
@c_laptops @laptopmag @athrunlaptops https://t.co/mK4g321LXs""",anger,anger
33,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""I Bought @Dell Laptop Inspiron 5502 from India and Moved to Spain .I am not even able to Watch YouTube in my Laptop. It shows Blue screen error always and heats the system. Even after servicing it, They didn't solve the problem. Worst experience with @Dell
#DontBuyDell 🤬🤬😡😡 https://t.co/mX0p3woZRg""",anger,anger
34,"Please answer the following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell
 
@DellCares
 
@DellCaresPRO
 
my mouse is under warranty and i buy the wireless keyboard /mouse combo... who will sought out my issue ???""",disgust,surprise
