,query,gold_answer,model_answer
0,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""#facebookdown @TheRock @steveaustinBSR  @WWEUniverse  @JohnCena #psndown @Microsoft @playstation @starwars @Dell @CountryMusic @_KennyRogers @ScienceNews @StarTrek #WWIII if us goes to war with twain against china for get about your ps5 you wont have any new ones chona owns them""",disgust,anger
1,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""While the brand doesn’t have “another five year marker”, @Dell does have “goals and aspirations” around how it’s looking at audiences, including a “huge focus” on using tech and data to drive decision making.

https://t.co/27ctK89xNj https://t.co/cttAp1Vn4G""",optimism,joy
2,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""The first few paycheques from my first job at Rona when I was 15 (more than half my life ago 😱) went to new golf clubs and a custom @Dell PC. Good times... https://t.co/A1OB0vHjEK""",joy,joy
3,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@NTCarver0 @Dell @FreedomSci @NVAccess nice work staying on this for so long.""",joy,love
4,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Hey @Dell lifelong customer here. 

I’m looking for recommendations for a laptop powerful enough to run an online business from. 

My last two laptops from you have sputtered out in 2 years or less. 

Ps. Don’t blow this. The people are watching. 😂""",anticipation,surprise
5,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Dell Why would you no longer put a service tag barcode on your device?  Chromebook 3110 2-in-1 https://t.co/y3IeyEDmbF""",anger,surprise
6,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""In addition to the speaker sessions, we have @dell,
@ACTFibernet, @TigerAnalytics visiting us for pre-placement talks. 

We look forward to your visit! 

#Corporateday #CCS #Placement #greatlakeschennai
(2/2)""",anticipation,joy
7,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""It's easy for you to ignore the issue, tried every possibility to contact with hp assistant with all procedures but again the result is the same. I have to come back to Twitter.@HP @HPIndia @HPIndia_CS_Head @HPSupport @aajtak @indiatvnews @TOIMumbai @Lenovo @Dell @indiatvnews""",anger,anger
8,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@ASivsreddy @Dell @Lenovo @HP Hey Siva, I was about to order aspire 7, shoud i go with it???? You sure they sell old stock?""",disgust,surprise
9,"Answer: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""So I request @Dell plz solve my issue permanently or u give new packed laptop.#dellsupport #dell #issues""",anger,joy
